"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,102199957,19,66,,108764258
2018,102200037,10,,,108764371
2018,102200072,63,1,,108764411
2018,102200091,4,35,,108764429
2018,102200093,4,35,03-MAY-18,108764431
2018,102200111,6,70,,108764450
2018,102200137,63,400,,108764479
2018,102200354,4,600,,108764747
2018,102200476,38,20,,108764889
2018,102200543,54,25,,108764970
2018,102200679,23,250,,108765133
2018,102201050,42,204,,108765569
2018,102201059,42,204,27-MAY-18,108765575
2018,102201140,38,2305,,108765665
2018,102201149,3,1000,,108765679
2018,102201169,10,1,,108765707
2018,102201206,31,501,,108765747
2018,102201287,50,25,,108765880
2018,102201439,15,4238,,108766049
2018,102201649,13,1,,108766335
2018,102201665,62,150,,108766355
2018,102197370,63,0,,108760967
2018,102197438,63,750,,108761076
2018,102197502,20,15,,108761154
2018,102197621,35,150,,108761297
2018,102197654,35,40,,108761340
2018,102198058,16,100,,108761841
2018,102198166,3,1000,,108761984
2018,102198309,28,1500,20-APR-18,108762180
2018,102198307,28,2000,,108762176
2018,102198405,63,50,08-JUN-18,108762302
2018,102198403,63,50,,108762300
2018,102198494,27,5,,108762407
2018,102198498,27,5,28-MAR-18,108762410
2018,102197373,35,50,,108760974
2018,102197528,21,220,,108761185
2018,102197565,20,34500,,108761221
2018,102197650,35,25,,108761339
2018,102197921,38,20,,108761672
2018,102197914,16,50,,108761668
2018,102197914,26,545,,108761664
2018,102197958,8,57,,108761714
2018,102198003,27,500,,108761770
2018,102198003,26,200,,108761772
2018,102198171,62,150,,108761989
2018,110473243,63,0,,119421931
2018,110478182,20,300,,119428268
2018,110478321,38,1,,119428454
2018,117421588,17,5395,,128505850
2018,117421589,10,1,,128505854
2018,117421589,20,2000,,128505852
2018,117421589,17,22695,,128505851
2018,117421589,16,1,,128505853
2018,110489362,20,65,,119429880
2018,110489362,7,300,,119429879
2018,110482325,52,0,,119426467
2018,110482339,3,1500,07-MAR-18,119433533
2018,110484374,3,1500,,119433532
2018,110482359,11,1,,119429932
2018,110482359,10,,,119429931
2018,110482357,52,0,,119426501
2018,110482372,2,15,,119426525
2018,110489434,50,38,,119433573
2018,110484427,63,18,,119433594
2018,110484432,63,600,,119433601
2018,110482417,50,20,,119426575
2018,110482422,10,,,119433612
2018,110482430,38,200,,119433620
2018,110482480,3,1,,119426653
2018,110482491,26,135,,119426663
2018,110409555,38,500,,119347308
2018,110419425,35,50,,119347321
2018,110414613,17,1,,119337570
2018,110419457,6,286,17-NOV-18,119337572
2018,110419457,36,1566,17-NOV-18,119347373
2018,110419456,16,206,,119347372
2018,110419456,36,1566,,119347371
2018,110419456,6,286,,119337571
2018,110419457,16,206,17-NOV-18,119347374
2018,110414731,63,2,,119337709
2018,110414787,17,1,,119347559
2018,110414823,20,7000,,119337846
2018,110409915,10,,,119342908
2018,110414907,60,970,25-OCT-18,119337950
2018,110410035,6,130,,119343057
2018,110415033,60,900,13-NOV-18,119338098
2018,110415033,13,3100,13-NOV-18,119338097
2018,110410035,60,900,,119347750
2018,110410035,13,3100,,119347749
2018,110415033,6,130,13-NOV-18,119338100
2018,110419773,63,750,,119338115
2018,110419775,50,39,,119343075
2018,110419780,10,,,119343082
2018,110415089,11,1,,119347807
2018,110415090,63,1,,119343140
2018,110419818,52,0,,119343139
2018,110410089,52,0,31-DEC-18,119347808
2018,110415089,10,,,119347806
2018,110419822,50,20,,119343147
2018,110415135,3,800,,119347848
2018,110419860,3,800,19-DEC-18,119338230
2018,110415137,63,1,,119343193
2018,110419869,9,0,,119343209
2018,110415152,6,3706,,119338257
2018,110419881,25,5,,119347879
2018,110419881,9,0,,119343236
2018,110419881,16,5,,119343235
2018,110419881,20,116,,119347878
2018,110419881,63,100,,119343237
2018,110419893,6,237,30-DEC-18,119347891
2018,110410190,6,237,,119343253
2018,110410229,20,447,,119343308
2018,110410283,20,9786,,119338387
2018,116444030,11,1,,127330497
2018,116444030,10,,,127337354
2018,116449809,63,370,15-FEB-19,127333984
2018,116454803,20,200,,127330580
2018,116449809,20,120,16-FEB-19,127333983
2018,116454803,63,43017,,127333982
2018,116449915,63,260,,127330687
2018,116449812,3,3500,14-SEP-18,127330582
2018,110477860,52,0,,119427880
2018,110472994,43,1,,119427881
2018,110479926,10,,,119423121
2018,110479926,11,1,,119427895
2018,110477941,10,,,119427969
2018,110480085,10,,,119421724
2018,110480085,11,1,,119428039
2018,110473138,21,400,,119423449
2018,110480233,52,0,,119428216
2018,110478139,63,1,,119423534
2018,110480260,10,,,119423560
2018,110480260,11,4,,119423562
2018,110480335,22,0,,119428266
2018,110473245,26,300,,119421935
2018,110480341,26,300,30-SEP-18,119423683
2018,110480434,2,32,,119423816
2018,110480459,30,1,,119423847
2018,110480459,31,1,,119423846
2018,110480463,6,100,,119423854
2018,110480463,62,663,,119428367
2018,110480463,16,330,,119423852
2018,110480463,36,120,,119423853
2018,110480491,3,1,,119423892
2018,110478300,64,30,,119428431
2018,110478300,36,1300,,119428429
2018,110478301,52,0,,119428434
2018,110478990,45,2125,,119429347
2018,110478990,58,500,,119429349
2018,110481619,61,599,,119425518
2018,116444359,16,141,22-NOV-18,127334483
2018,116455172,16,141,,127338044
2018,116459774,63,45,02-OCT-18,127331403
2018,116450869,63,46,,127338879
2018,116450871,11,1,,127338881
2018,116450871,10,,,127338880
2018,116451063,63,200,,127339131
2018,116456464,66,30,,127336112
2018,116460369,7,900,13-DEC-18,127332122
2018,116451580,10,,,127339776
2018,116456464,7,900,,127339774
2018,116460369,36,100,13-DEC-18,127339778
2018,116460369,66,30,13-DEC-18,127332123
2018,116460369,63,452,13-DEC-18,127332124
2018,116456464,63,452,,127336113
2018,116456464,36,100,,127339775
2018,116456692,25,1800,,127336412
2018,116456692,17,1,,127340240
2018,116459863,63,1,,127339064
2018,116454942,10,,,127334154
2018,116449979,10,,,127330743
2018,116449979,11,1,,127337739
2018,116449981,3,12500,30-SEP-18,127337747
2018,116459837,63,25,,127331488
2018,116451209,36,302,,127339305
2018,116451210,36,302,18-APR-18,127339306
2018,116460032,63,2000,,127335664
2018,116451464,63,1,,127339631
2018,116451857,51,0,,127340126
2018,116451859,50,5,01-SEP-18,127340128
2018,116451859,51,0,02-SEP-18,127340129
2018,116451857,50,15,,127332292
2018,116457273,26,2000,,127342734
2018,116457273,19,333,,127342735
2018,116457273,52,0,,127340969
2018,119493094,11,20,,131817158
2018,119493093,6,10,10-NOV-18,131817156
2018,119493095,6,10,,131817159
2018,119493094,10,,,131817157
2018,116460871,30,1,,127337153
2018,117423084,11,30,,128517857
2018,117423084,10,,,128517856
2018,117460185,10,,,128558418
2018,117460186,10,52,,128558419
2018,117112160,20,20,,128120084
2018,117112161,20,1628,,128120085
2018,117112162,11,10,,128120086
2018,110481591,64,1200,,119425486
2018,110481629,63,1,,119425528
2018,110474088,7,995,,119425541
2018,110481639,37,1,,119425547
2018,110474143,61,1,,119433201
2018,110481761,61,1,09-JUN-18,119425690
2018,110481767,50,35,,119425701
2018,110481783,8,1,,119425726
2018,110479096,6,764,,119429485
2018,110481828,4,500,,119425794
2018,110481828,2,30,,119425795
2018,110481839,63,1,08-AUG-18,119425807
2018,110481842,63,1,,119425810
2018,110481845,3,1,,119425815
2018,110481863,26,74,19-AUG-18,119425842
2018,110481862,26,74,,119429538
